block_id,work_id,block_type,block_text,pdf_page,pdf_bbox,block_seq,parent_title_block_id,title_level
2016408810175991961,W1006361424,title,Financial incentives for kidney donation: A comparative case study using synthetic controls,0,"[70, 205, 793, 248]",0,,0.0
2016408810175991962,W1006361424,text,"Fırat Bilgel a,∗, Brian Galle b ",0,"[70, 258, 295, 276]",1,2016408810175991961,
2016408810175991963,W1006361424,text,"a Faculty of Economics and Administrative Sciences, Okan University, Tuzla Campus, Akfirat 34959, Istanbul, Turkey b Boston College Law School, 885 Centre Street, Newton, MA 02459, United States ",0,"[68, 283, 631, 303]",2,2016408810175991961,
2016408810175991964,W1006361424,text,a r t i c l e i n f o,0,"[70, 332, 230, 346]",3,2016408810175991961,
2016408810175991965,W1006361424,title,Abstract,0,"[352, 334, 463, 346]",4,,1.0
2016408810175991966,W1006361424,text,"Article history:   
Received 19 September 2014   
Received in revised form 19 June 2015   
Accepted 28 June 2015   
Available online 6 July 2015 ",0,"[68, 360, 267, 413]",5,2016408810175991965,
2016408810175991967,W1006361424,text,"JEL classification:   
I18   
K32   
C15   
Keywords:   
Living kidney donation   
Altruism   
Tax deduction   
Difference-in-differences   
Synthetic control ",0,"[70, 428, 154, 470]",6,2016408810175991965,
2016408810175991968,W1006361424,text,,0,"[70, 480, 200, 544]",7,2016408810175991965,
2016408810175991969,W1006361424,text,"Although many commentators called for increased efforts to incentivize organ donations, theorists and some evidence suggest these efforts will be ineffective. Studies examining the impact of tax incentives generally report zero/negative coefficients, but these studies incorrectly define their tax variables and rely on difference-in-differences despite likely failures of the parallel trends assumption. We identify the causal effect of tax legislation to serve as an organ donor on living kidney donation rates in the U.S. states using more precise tax data and allowing for heterogeneous time-variant causal effects. Employing a synthetic control method, we find that the passage of tax incentive legislation increased living unrelated kidney donation rates by 52 percent in New York relative to a comparable synthetic New York in the absence of legislation. It is possible that New York is unique, but our methodology does not allow us to measure accurately effects in other states. ",0,"[351, 360, 947, 480]",8,2016408810175991965,
2016408810175991970,W1006361424,text,$^ { © }$ 2015 Elsevier B.V. All rights reserved. ,0,"[719, 480, 946, 493]",9,2016408810175991965,
2016408810175991971,W1006361424,title,1. Introduction,0,"[70, 590, 176, 602]",10,,1.0
